station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind,bikes outbound,outbound trips,bikes inbound,inbound trips,delta bikes,delta trips
3069,40.70411791,-73.94818595,Lorimer St & Broadway,15,11,26,active,9,51,7,25,-2,-26
3070,40.70510918,-73.94407279,McKibbin St & Manhattan Ave,15,12,27,active,10,47,1,10,-9,-37
3071,40.70538077,-73.94976519,Boerum St & Broadway,12,15,27,active,5,18,5,27,0,9
3072,40.70583339,-73.94644578,Leonard St & Boerum St,16,13,29,active,10,70,1,17,-9,-53
3073,40.70691254,-73.95441667,Division Ave & Hooper St,17,17,34,active,6,34,4,12,-2,-22
3074,40.70767788,-73.94016171,Montrose Ave & Bushwick Ave,43,44,87,active,9,60,16,105,7,45
3075,40.70708701,-73.95796783,Division Ave & Marcy Ave,5,5,10,active,2,12,1,2,-1,-10
3076,40.70870368,-73.9448625,Scholes St & Manhattan Ave,20,21,41,active,9,37,4,18,-5,-19
3077,40.70877084,-73.95095259,Stagg St & Union Ave,39,34,73,active,14,108,6,24,-8,-84
3078,40.70925562,-73.95982218,Broadway & Roebling St,46,48,94,active,2,3,15,67,13,64
3079,40.71103537,-73.94714303,Leonard St & Grand St,23,30,53,active,12,90,5,19,-7,-71
3080,40.70934000000001,-73.95608,S 4 St & Rodney St,27,27,54,active,13,89,6,23,-7,-66
3081,40.711863,-73.944024,Graham Ave & Grand St,26,25,51,active,11,84,2,10,-9,-74
3082,40.71167351,-73.95141312,Hope St & Union Ave,43,34,77,active,22,145,11,77,-11,-68
3083,40.71247661,-73.94100005,Bushwick Ave & Powers St,26,33,59,active,3,43,4,30,1,-13
3084,40.71348658,-73.94792458,Devoe St & Leonard St,33,22,55,active,12,38,13,55,1,17
3085,40.714690000000004,-73.95739,Roebling St & N 4 St,0,0,0,inactive,0,0,0,0,0,0
3086,40.715143,-73.944507,Graham Ave & Conselyea St,52,54,106,active,2,14,18,131,16,117
3087,40.71413311,-73.95234386,Metropolitan Ave & Meeker Ave,63,49,112,active,21,105,26,141,5,36
3088,40.7160751,-73.95202900000002,Union Ave & Jackson St,28,29,57,active,9,63,11,88,2,25
3089,40.717318403855785,-73.9482021331787,Leonard St & Meeker Ave,8,12,20,active,7,49,1,1,-6,-48
3090,40.71774592,-73.95600096,N 8 St & Driggs Ave,108,112,220,active,1,5,30,201,29,196
3091,40.71764,-73.94882,Frost St & Meeker St,16,18,34,active,8,34,4,44,-4,10
3092,40.7190095,-73.95852515,Berry St & N 8 St,91,91,182,active,10,55,31,198,21,143
3093,40.71745169,-73.95850939,N 6 St & Bedford Ave,134,138,272,active,1,4,37,232,36,228
3094,40.7169811,-73.94485918,Graham Ave & Withers St,21,28,49,active,6,49,3,10,-3,-39
3095,40.71929301,-73.94500379,Graham Ave & Herbert St,19,23,42,active,7,78,2,33,-5,-45
3096,40.71924,-73.95241999999998,Union Ave & N 12 St,35,45,80,active,9,34,9,71,0,37
3098,40.71928,-73.94861,Leonard St & Bayard St,18,9,27,active,9,37,5,11,-4,-26
3099,40.72152240339303,-73.94898265600203,Leonard St & Manhattan Ave,12,9,21,active,6,35,1,11,-5,-24
3100,40.724812564400175,-73.94752621650694,Nassau Ave & Newell St,45,37,82,active,22,158,9,33,-13,-125
3101,40.72079821,-73.95484712,N 12 St & Bedford Ave,64,46,110,active,20,107,23,94,3,-13
3102,40.72179134,-73.95041540000003,Driggs Ave & Lorimer St,25,33,58,active,1,4,8,65,7,61
3103,40.72153267,-73.95782357,N 11 St & Wythe Ave,32,39,71,active,5,44,12,121,7,77
3105,40.724055,-73.955736,N 15 St & Wythe Ave,20,23,43,active,5,27,6,33,1,6
3106,40.72325,-73.94308000000002,Driggs Ave & N Henry St,46,52,98,active,18,141,8,71,-10,-70
3107,40.72311651,-73.95212324,Bedford Ave & Nassau Ave,83,74,157,active,15,109,17,132,2,23
3108,40.72557000000001,-73.94434,Nassau Ave & Russell St,63,63,126,active,24,150,10,46,-14,-104
3109,40.72606,-73.95621,Banker St & Meserole Ave,46,50,96,active,17,97,5,24,-12,-73
3110,40.72708584,-73.95299117,Meserole Ave & Manhattan Ave,47,59,106,active,10,55,10,62,0,7
3111,40.725848299999996,-73.95064893,Norman Ave & Leonard St,34,30,64,active,9,76,4,13,-5,-63
3112,40.72906,-73.95779,Milton St & Franklin St,81,83,164,active,12,52,21,108,9,56
3113,40.730259999999994,-73.95394,Greenpoint Ave & Manhattan Ave,57,48,105,active,11,35,18,89,7,54
3114,40.73165141,-73.96161892,India St & East River,15,10,25,active,7,10,4,4,-3,-6
3115,40.73232194,-73.9550858,India St & Manhattan Ave,42,48,90,active,13,63,15,90,2,27
3116,40.732659999999996,-73.95826,Huron St & Franklin St,51,55,106,active,26,161,6,18,-20,-143
3117,40.735640000000004,-73.95866,Franklin St & Dupont St,33,28,61,active,15,76,10,51,-5,-25
3118,40.73555,-73.95284000000002,McGuinness Blvd & Eagle St,30,28,58,active,14,97,11,57,-3,-40
3119,40.74232744,-73.95411749,Vernon Blvd & 50 Ave,103,97,200,active,8,13,40,147,32,134
3120,40.741609999999994,-73.96044,Center Blvd & Borden Ave,17,18,35,active,9,50,4,15,-5,-35
3121,40.74524768,-73.94733276,Jackson Ave & 46 Rd,15,22,37,active,11,97,2,4,-9,-93
3122,40.74436328706688,-73.95587325096129,48 Ave & 5 St,21,30,51,active,11,79,7,36,-4,-43
3123,40.74469738,-73.93540375,31 St & Thomson Ave,5,8,13,active,0,0,1,2,1,2
3124,40.74731,-73.95451,46 Ave & 5 St,54,54,108,active,27,150,13,34,-14,-116
3125,40.74708586,-73.94977234,45 Rd & 11 St,39,34,73,active,9,26,19,104,10,78
3126,40.74718234,-73.9432635,44 Dr & Jackson Ave,31,41,72,active,3,7,10,51,7,44
3127,40.74966,-73.9521,9 St & 44 Rd,11,10,21,active,6,18,3,5,-3,-13
3128,40.75052534,-73.94594845,21 St & 43 Ave,9,12,21,active,3,22,1,2,-2,-20
3129,40.75110165,-73.94073717,Queens Plaza North & Crescent St,66,75,141,active,6,32,15,125,9,93
3131,40.76712840349542,-73.96224617958069,E 68 St & 3 Ave,40,41,81,active,0,0,3,51,3,51
3132,40.76350532,-73.97109243,E 59 St & Madison Ave,105,106,211,active,0,0,7,63,7,63
3134,40.76312584,-73.96526895,3 Ave & E 62 St,98,75,173,active,23,258,13,125,-10,-133
