Index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
61190,681.0,2016-03-08 14:25:32,2016-03-08 14:36:54,174.0,E 25 St & 1 Ave,40.7381765,-73.97738662,536.0,1 Ave & E 30 St,40.74144387,-73.97536082,23578.0,Subscriber,1996.0,1.0
71034,200.0,2016-03-08 19:32:31,2016-03-08 19:35:51,223.0,W 13 St & 7 Ave,40.73781509,-73.99994661,434.0,9 Ave & W 18 St,40.74317449,-74.00366443,23578.0,Subscriber,1983.0,1.0
78092,1436.0,2016-03-12 09:14:46,2016-03-12 09:38:43,228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,335.0,Washington Pl & Broadway,40.72903917,-73.99404649,23578.0,Subscriber,1988.0,1.0
92804,404.0,2016-03-07 15:38:05,2016-03-07 15:44:49,238.0,Bank St & Washington St,40.7361967,-74.00859207,459.0,W 20 St & 11 Ave,40.746745000000004,-74.007756,23578.0,Subscriber,1940.0,1.0
100297,1537.0,2016-03-11 17:13:58,2016-03-11 17:39:35,248.0,Laight St & Hudson St,40.72185379,-74.00771779,519.0,Pershing Square North,40.751872999999996,-73.97770600000001,23578.0,Subscriber,1965.0,1.0
113489,156.0,2016-03-08 19:18:26,2016-03-08 19:21:03,253.0,W 13 St & 5 Ave,40.73543934,-73.99453948,223.0,W 13 St & 7 Ave,40.73781509,-73.99994661,23578.0,Subscriber,1960.0,1.0
121092,1643.0,2016-03-07 15:05:51,2016-03-07 15:33:14,259.0,South St & Whitehall St,40.70122128,-74.01234218,238.0,Bank St & Washington St,40.7361967,-74.00859207,23578.0,Customer,,0.0
121238,582.0,2016-03-09 11:11:10,2016-03-09 11:20:52,259.0,South St & Whitehall St,40.70122128,-74.01234218,386.0,Centre St & Worth St,40.71494807,-74.00234482,23578.0,Subscriber,1986.0,1.0
142502,1667.0,2016-03-08 22:04:00,2016-03-08 22:31:47,279.0,Peck Slip & Front St,40.707873,-74.00166999999999,167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,23578.0,Subscriber,1973.0,1.0
147279,930.0,2016-03-09 15:58:36,2016-03-09 16:14:06,281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,519.0,Pershing Square North,40.751872999999996,-73.97770600000001,23578.0,Subscriber,1991.0,2.0
147628,363.0,2016-03-12 08:53:34,2016-03-12 08:59:38,281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855,23578.0,Subscriber,1972.0,1.0
165607,777.0,2016-03-08 17:28:30,2016-03-08 17:41:27,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,519.0,Pershing Square North,40.751872999999996,-73.97770600000001,23578.0,Subscriber,1986.0,1.0
175844,643.0,2016-03-10 08:02:13,2016-03-10 08:12:56,297.0,E 15 St & 3 Ave,40.734232,-73.986923,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,23578.0,Subscriber,1949.0,1.0
192140,441.0,2016-03-12 08:33:03,2016-03-12 08:40:25,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,23578.0,Subscriber,1967.0,2.0
210558,1438.0,2016-03-09 07:57:37,2016-03-09 08:21:35,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,23578.0,Subscriber,1979.0,1.0
210563,119.0,2016-03-09 08:34:58,2016-03-09 08:36:57,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,259.0,South St & Whitehall St,40.70122128,-74.01234218,23578.0,Subscriber,1978.0,1.0
227338,417.0,2016-03-09 21:15:53,2016-03-09 21:22:50,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,375.0,Mercer St & Bleecker St,40.72679454,-73.99695094,23578.0,Subscriber,1975.0,1.0
227340,5074.0,2016-03-09 22:16:25,2016-03-09 23:41:00,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,23578.0,Subscriber,1995.0,1.0
234579,369.0,2016-03-07 22:10:57,2016-03-07 22:17:07,328.0,Watts St & Greenwich St,40.72405549,-74.00965965,417.0,Barclay St & Church St,40.71291224,-74.01020234,23578.0,Subscriber,1982.0,1.0
247824,1003.0,2016-03-12 10:30:06,2016-03-12 10:46:50,335.0,Washington Pl & Broadway,40.72903917,-73.99404649,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,23578.0,Customer,,0.0
263470,1319.0,2016-03-12 14:11:16,2016-03-12 14:33:15,346.0,Bank St & Hudson St,40.73652889,-74.00618026,422.0,W 59 St & 10 Ave,40.770513,-73.988038,23578.0,Subscriber,1954.0,1.0
273517,724.0,2016-03-09 07:25:34,2016-03-09 07:37:39,350.0,Clinton St & Grand St,40.71559509,-73.9870295,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,23578.0,Subscriber,1970.0,2.0
285078,1312.0,2016-03-09 12:16:48,2016-03-09 12:38:41,357.0,E 11 St & Broadway,40.73261787,-73.99158043,388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,23578.0,Subscriber,1984.0,1.0
297777,610.0,2016-03-07 19:07:35,2016-03-07 19:17:46,361.0,Allen St & Hester St,40.71605866,-73.99190759,328.0,Watts St & Greenwich St,40.72405549,-74.00965965,23578.0,Subscriber,1972.0,1.0
317150,555.0,2016-03-09 21:25:28,2016-03-09 21:34:43,375.0,Mercer St & Bleecker St,40.72679454,-73.99695094,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,23578.0,Subscriber,1990.0,1.0
327303,977.0,2016-03-06 22:44:18,2016-03-06 23:00:35,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,433.0,E 13 St & Avenue A,40.72955361,-73.98057249,23578.0,Customer,,0.0
327502,181.0,2016-03-08 17:00:16,2016-03-08 17:03:17,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,3224.0,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,23578.0,Subscriber,1981.0,2.0
328067,1503.0,2016-03-12 11:02:18,2016-03-12 11:27:21,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,23578.0,Subscriber,1987.0,1.0
328090,753.0,2016-03-12 12:42:51,2016-03-12 12:55:24,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,526.0,E 33 St & 5 Ave,40.74765947,-73.98490707,23578.0,Subscriber,1978.0,1.0
328169,2168.0,2016-03-12 18:15:50,2016-03-12 18:51:59,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,23578.0,Subscriber,1973.0,1.0
341686,996.0,2016-03-09 11:58:19,2016-03-09 12:14:55,386.0,Centre St & Worth St,40.71494807,-74.00234482,357.0,E 11 St & Broadway,40.73261787,-73.99158043,23578.0,Subscriber,1958.0,1.0
348165,131.0,2016-03-09 12:57:15,2016-03-09 12:59:26,388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,494.0,W 26 St & 8 Ave,40.74734825,-73.99723551,23578.0,Subscriber,1964.0,1.0
361906,480.0,2016-03-12 20:02:52,2016-03-12 20:10:52,400.0,Pitt St & Stanton St,40.71926081,-73.98178024,531.0,Forsyth St & Broome St,40.71893904,-73.99266288,23578.0,Subscriber,1978.0,1.0
362763,330.0,2016-03-07 16:12:16,2016-03-07 16:17:46,401.0,Allen St & Rivington St,40.72019576,-73.98997825,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,23578.0,Subscriber,1981.0,1.0
362784,157.0,2016-03-07 19:00:15,2016-03-07 19:02:53,401.0,Allen St & Rivington St,40.72019576,-73.98997825,361.0,Allen St & Hester St,40.71605866,-73.99190759,23578.0,Subscriber,1972.0,1.0
363031,464.0,2016-03-10 07:51:08,2016-03-10 07:58:52,401.0,Allen St & Rivington St,40.72019576,-73.98997825,297.0,E 15 St & 3 Ave,40.734232,-73.986923,23578.0,Subscriber,1999.0,1.0
372625,1523.0,2016-03-12 15:42:42,2016-03-12 16:08:06,405.0,Washington St & Gansevoort St,40.739323,-74.008119,458.0,11 Ave & W 27 St,40.751396,-74.00522600000001,23578.0,Subscriber,1954.0,1.0
378120,462.0,2016-03-09 21:45:45,2016-03-09 21:53:28,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,23578.0,Subscriber,1978.0,1.0
386233,1648.0,2016-03-06 11:41:07,2016-03-06 12:08:36,416.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,545.0,E 23 St & 1 Ave,40.736502,-73.97809472,23578.0,Subscriber,1990.0,1.0
387477,336.0,2016-03-08 08:01:19,2016-03-08 08:06:56,417.0,Barclay St & Church St,40.71291224,-74.01020234,3002.0,South End Ave & Liberty St,40.711512,-74.01575600000001,23578.0,Subscriber,1984.0,1.0
388010,394.0,2016-03-11 10:07:17,2016-03-11 10:13:52,417.0,Barclay St & Church St,40.71291224,-74.01020234,248.0,Laight St & Hudson St,40.72185379,-74.00771779,23578.0,Subscriber,1983.0,2.0
392945,1601.0,2016-03-12 14:35:28,2016-03-12 15:02:09,422.0,W 59 St & 10 Ave,40.770513,-73.988038,405.0,Washington St & Gansevoort St,40.739323,-74.008119,23578.0,Subscriber,1954.0,1.0
401480,205.0,2016-03-08 09:26:11,2016-03-08 09:29:36,427.0,Bus Slip & State St,40.701907,-74.013942,2008.0,Little West St & 1 Pl,40.70569254,-74.01677685,23578.0,Subscriber,1966.0,2.0
403955,467.0,2016-03-12 01:46:51,2016-03-12 01:54:39,428.0,E 3 St & 1 Ave,40.72467721,-73.98783413,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,23578.0,Subscriber,1990.0,1.0
412564,1345.0,2016-03-07 06:44:19,2016-03-07 07:06:45,433.0,E 13 St & Avenue A,40.72955361,-73.98057249,259.0,South St & Whitehall St,40.70122128,-74.01234218,23578.0,Subscriber,1991.0,1.0
415942,566.0,2016-03-08 19:38:02,2016-03-08 19:47:28,434.0,9 Ave & W 18 St,40.74317449,-74.00366443,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,23578.0,Subscriber,1979.0,1.0
416219,1053.0,2016-03-11 08:47:13,2016-03-11 09:04:46,434.0,9 Ave & W 18 St,40.74317449,-74.00366443,417.0,Barclay St & Church St,40.71291224,-74.01020234,23578.0,Subscriber,1977.0,1.0
433841,1802.0,2016-03-08 21:31:48,2016-03-08 22:01:50,440.0,E 45 St & 3 Ave,40.75255434,-73.97282625,279.0,Peck Slip & Front St,40.707873,-74.00166999999999,23578.0,Subscriber,1973.0,1.0
